yue	eng
笑聲	Laughter
唔單止 用嚟 防水 仲 可以 防 其他 水性 物料 例如 混凝土 水性 塗料 泥漿 同埋 成品油	And it s not just water that this works with It s a lot of water based materials like concrete water based paint mud and also some refined oils as well
嗱 每一次 你 想 講嘢 嗰陣時 呢 你 跳 著 舞 咁	Dance when you talk
我 祈禱 係 佢 去世 之前	and I prayed that the oil wouldn t wash up on her beach
笑聲	Laughter
轉左 呀	Left
講真 個 界面 唔 係 咁好 用	And really it s not the most user friendly interface
我 話 哦 直線 啰 你 琴日 係咁 同 我 講嘅	And I said Well that s a straight line You told me that yesterday
呢個自 我 係 個 真實 存在 的 東西	that the self is an actual living thing
事實上 我哋 輕視 玩	In fact we devalue play
或者 某 個 時刻 新 舊 兩 代 嘅 美國人 重新 發現 正如 頭先 嗰位 講者 所 講 對 知識 嘅 追求 同 熱愛 開始 學 啲 想 學 嘅嘢 鍾意 自己 學 緊 嘅嘢 隨心 而 行 深受 知識 所 啟 發 去 探索 自己 渴望 探索 嘅事 物	Perhaps in time young and old Americans may rediscover as the gentleman said earlier their curiosity their love of learning begin to study what they love love what they study follow their passion getting stimulated by their intelligence follow paths of inquiry that they really want to
好 麥克 多謝 曬	All right Mike thanks so much
來生 產 iPhone 同 電腦	for their iPhones and computers
你 要 傳遞 乜嘢 信息	and what are the messages
咦 你 可以 教 我 呀	You can teach me
受傷 人數 基本上 無 點 變	After this big expansion you ve seen
20 個 試圖 自殺 的 人中	that 19 out of 20 people
我 希望 我 嘅 仔 長大 之後 佢 媽媽 嘅 仔 或者 媽咪 嘅 乖仔 兩 種 嘅 表述 會 有 截然不同 嘅 意義	My hopes for my son are that by then the expression her mother s son or mama s boy would have taken on a completely different meaning
但如果 你 睇 張力 即係 纖維 可以 拉 幾長 如果 你 睇 著 個 最大 數值 呢道 又係 好多 變化 好 明顯 係 鞭毛 狀 絲 或者 捕 旋 小 絲 勝出 實際上 鞭毛 狀 纖維 可以 真係 拉長 超過 一倍 所以 絲 纖維 有 唔同 嘅 強度 同埋 唔同 嘅 伸展 能力 至於 螺旋 捕 網 佢 要 夠 延伸 力 去 吸收 飛行 獵物 嘅 衝擊 如果 佢 唔能 夠 延伸 好多 咁 當 昆蟲 撞 埋 蜘蛛網 嗰陣 就 會 彈 翻 出去 所以 如果 成個 蜘蛛網 都 係用 拖 絲 所 做 昆蟲 只會 成日 彈 入 又 彈出 但係 如果 真係 用 超級 伸展 嘅 捕蟲 螺旋 絲 個 網 就 有能力 吸收 衝擊 捕 著 獵物	On the other hand if you were to look at strain this is how much a fiber can be extended if you look at the maximum value here again there s a lot of variation and the clear winner is flagelliform or the capture spiral filament In fact this flagelliform fiber can actually stretch over twice its original length So silk fibers vary in their strength and also their extensibility In the case of the capture spiral it needs to be so stretchy to absorb the impact of flying prey If it wasn t able to stretch so much then basically when an insect hit the web it would just trampoline right off of it So if the web was made entirely out of dragline silk an insect is very likely to just bounce right off But by having really really stretchy capture spiral silk the web is actually able to absorb the impact of that intercepted prey
多謝	Thank you
我哋 都 唔同	We are all different
得 一 嗰 由 本地人 開 畀 鄰居 嘅 食肆	There were neighborhood restaurants run by local people
但 咁 樣 帶出 咗 一 件 事	One good thing did come out of it
美國 政府 係 DARPA 大 挑戰 中	in the DARPA Grand Challenges
佢 扭傷 咗 大概 3 個 星期 後 先 來 穩 我	when she came to my clinic about three months after her sprain
我 有 個 朋友 喺 電子 領域 基金會 度 做 呢個 基金會 一個 民間組織 佢哋 攞咗 好多 FBI 嘅 文件 裏邊 寫低 FBI 下一代 嘅 監聽 科技 會 係點 呢啲 文件 大多數 內容 都 俾 人大 執 過 但 若果 我 放大 熒幕 上面 嘅嘢 你 會見 到 呢 行 字 遠端 營運 單位 當 我 第一次 見到 呢樣嘢 我 從來 未聽過 呢個 單位 我 已經 研究 咗 監控 呢樣嘢 超過 六 年 啦 但 我 由 未聽過 呢個 單位 於是 我 上網 搵 最後 我 搵到 答案 就係 我 上 Linkedin 一個 求職者 嘅 社交網站 嗰時 嗰度 有好多 美國 政府 嘅 前 合約 僱員 佢哋 都 曾經 都 喺 呢個 遠端 營運 單位 裏面 做 佢哋 仲係 履歷 上面 詳細 描述 佢哋 做 呢份工 嗰陣 做 過 啲 乜 笑聲 我 將 呢啲 資料 交 俾 一個 我 識得 同 信得過 嘅 華爾街日報 記者 佢 聯絡 咗 一啲 前 執法 人員 佢哋 喺 背後 承認 同 證實 FBI 的確 有 一個 專責 單位 入侵 監控 對象 嘅 電腦 好似 Gamma 同 駭客 團隊 噉 FBI 都 有能力 遙控 啟 動 網絡 攝錄機 麥克風 去 偷 文件 攞 上網 紀錄 電腦 檔案	My friends at an organization called the Electronic Frontier Foundation they re a civil society group obtained hundreds of documents from the FBI detailing their next generation of surveillance technologies Most of these documents were heavily redacted but what you can see from the slides if I zoom in is this term Remote Operations Unit Now when I first looked into this I d never heard of this unit before I ve been studying surveillance for more than six years I d never heard of it And so I went online and I did some research and ultimately I hit the mother lode when I went to LinkedIn the social networking site for job seekers There were lots of former U S government contractors who had at one point worked for the Remote Operating Unit and were describing in surprising detail on their CVs what they had done in their former job Laughter So I took this information and I gave it to a journalist that I know and trust at the Wall Street Journal and she was able to contact several other former law enforcement officials who spoke on background and confirmed that yes in fact the FBI has a dedicated team that does nothing but hack into the computers of surveillance targets Like Gamma and Hacking Team the FBI also has the capability to remotely activate webcams microphones steal documents get web browsing information the works
伊藤 身邊 最 得寵 的 女兒	Ito loves this woman Miyuki dearly
對比 1945 年	We have half the number of managed hives
笑聲	Laughter
有 研究 顯示 印度 各地 方 每 十 個 女孩 就 有 三 個 第一次 嚟經 都 唔知道 咩 係 月經 拉 賈 欺 坦 有啲 地方 每 十 個 女仔 有多 到 九 個 都 唔識 你哋 會 好 出奇 我 同好 多 女仔 傾 過 佢哋 竟然 唔知 第一次 經期 就係 月經 仲 以為 係 患 咗 血癌 以為 要死	Research in various parts of India shows that three out of every 10 girls are not aware of menstruation at the time of their first periods And in some parts of Rajasthan this number is as high as nine out of 10 girls being unaware of it You d be surprised to know that most of the girls that I have spoken to who did not know about periods at the time of their first menstruation thought that they have got blood cancer and they re going to die soon
我 曾經 做咩 都 好 有節奏 我 記得 細個 時 喺 學校 走廊 度 行時 我 會 摞 手 喺 大 骳 度 打 節拍 呢個 係 緊張 嘅 習慣 而 我 成日 都 好 緊張 我 覺得 我 鍾意 節奏 嘅 重複 佢 會 令 我 平靜	Now I ve always had this thing with rhythms I remember being young I would walk down the hallways of my school and I would tap rhythms to myself on my leg with my hands or tapping my teeth It was a nervous habit and I was always nervous I think I liked the repetition of the rhythm it was calming
來自 餐館 嘅	refining cooking oil
懷有 改變 嘅 女人	Women of change
你 知唔知 呀	Do you know
係 唔 係 你 嘅 相 唔緊要	It doesn t matter today if it s your photo or not
呢啲 咁 嘅 女人 你 喺邊度 搵 喎	She deserves it
或者 以 科學 術語 嚟講	or as I like to use the scientific term
我 而家 返 香港 呀 真係 㗎	We should return to Hong Kong
呢種 感覺 我 從來 都 未試過 㗎	I ve never felt that way before
今日 嘅 年輕人 對於 新 科技 嘅 互動	So young people today have lots of experience
去 紀錄 我哋 嘅 世界	But each one acts as a sort of an archive
因此 我哋 需要	So I love that sometimes we need to
我 覺得 第三 個 手語 比 之前 兩 種	I feel like the third one has
我 好 慶幸 英國 特許 會計師 公會	has already set up a coalition to do this
一個個 洞 一個個 流膿 嘅 傷口	holes fistula
我 明白 世間 萬事 都 有聯繫	I know that everything is connected
而且 大概 要 立刻 行動	and that point of action is probably now
多謝	Thank you
但 或許 你 唔知 其中 一半 的 消費者	But you know what half of those consumers
有乜 嘢 其他 潛在 嘅 信息	What s another latent body of information that s out there
但 我 會 監視 我 自己 唔緊要	But I ll watch myself It s okay
水源 污染 有毒 食品	polluted water poisoned food
呢 嗰 係 一對 男同 性 夫妻 同一個 細路仔	it s a homosexual couple bringing up a child
要 解決 呢個 問題	there s not a lot of work done
我哋 將 所有 嘢 帶入 到 社交 空間	when we bring all that into the social space
我哋 都 好 有可能 無辦法 阻止 氣候 變遷	even after we have eliminated the use of fossil fuels
喺 我 嘅 經驗 嚟睇 事實上	In my experience in fact
菲 莉 斯 羅 德里 格 斯 我 想 講 嘅 係	PR I would like to say
見到 就 會 諗起 HIV	put it in boxes that remind you who paid for them
就 好似 你 屋企 裏面 嘅 導 線	is hardwired like your house
掌聲	Applause
就 以 送 你 蔥 來 代替	was green onion for free
咁大 家 請 聽 住	Then hear this please
聲音 觀眾 中的 能量	the sounds the energy from the audience
您 要 將 資訊 跟 佢哋 嘅 生活 聯繫 起來	You need to connect it to their lives
因為 一旦 John 承諾	Because once John committed himself
嚴肅	To be serious
你 有冇 試過 當 人哋 同 你 講 衰嘢 嘅時候	Have you ever laughed or smiled
喺 一個 月黑 風 高 嘅 晚上	One night
但係 必須 由 你 自己去 打理	But you have to maintain it
係 乜嘢 激發 左 授粉 者 嘅 積極性	What motivates the pollinators
幾年前 我 喺 一個 叫 Chopped 嘅 廚藝 節目 度 做 評委 四 個 廚師 用 即場 提供 嘅 食材 睇 邊個 可以 做出 最好 嘅 菜 但係 今次 特殊 啲 今次 冇 四 個 狂熱 爭先 表演 嘅 大廚 我 唔知 你 喺度 講 邊個 笑聲 今次 係啲 學校 裏 邊 嘅 廚師 既 係 簡稱 廚 娘 嘅 師奶 群 體 但係 我 堅持 稱 佢哋 為 校園 廚師 宜家 呢啲 令人 尊敬 嘅 女人 成日 為 幾千 個 小朋友 煮嘢食 早餐 同 午餐 每 餐 預算 得 2 68 美金 其中 食材 嘅 成本 得 1 美金 左右 節目 裏邊 比賽 嘅 食材 係 藜麥 我 諗 大家 都 好耐 冇 食 校園 餐 喇 我哋 喺 營養學 上 有咗 好 大 進步 但係 藜麥 喺啲 校園 裏邊 仲唔 多 見	Now a few years ago I was a judge on a cooking competition called Chopped Four chefs compete with mystery ingredients to see who can cook the best dishes Except for this episode it was a very special one Instead of four overzealous chefs trying to break into the limelight something that I would know nothing about Laughter these chefs were school chefs you know the women that you used to call lunch ladies but the ones I insist we call school chefs Now these women God bless these women spend their day cooking for thousands of kids breakfast and lunch with only 2 68 per lunch with only about a dollar of that actually going to the food In this episode the main course mystery ingredient was quinoa Now I know it s been a long time since most of you have had a school lunch and we ve made a lot of progress on nutrition but quinoa still is not a staple in most school cafeterias
其實 呢 一套 理念 已經 係 一套 相當 有 根據 廣泛 被 公認 嘅	Now this is a very well observed and well established notion
之後 將 其 抽離 頁面	and lift off the page
咁 就 徹底 解釋 咗 呢個 問題	And this took care of the situation resoundingly
佢哋 身上 套 住 個中 國 造 嘅	Clothed in this nylon bag
所以 呢啲 觀念 都 要 驗證 埋	and therefore must be tested
可信 嘅 係	But what was credible
哎呀 咁 你 咪得 囉 真係	Gosh now that s much better
因為 你 可以 盡情 將 諗法 表達 出嚟	than to find a place
咁 點解 我哋 可以 齋 靠 74 毫米 嘅	The question is how
你 唔 中意	You don t like it
人人 睇電視 追蹤	Everyone was glued to the TV
講 我 睇住 手機 笑到 好似 個 傻瓜 咁	smiling like an idiot
作為 領袖 我哋 唔係 永遠 都 啱	We re not always right as leaders
即係 去啦	means I will go
如果 阿爾蓋達 組織 嘅 基地	If the Al Qaeda base
其中 一類 殺蟲劑 叫 敵敵畏 全世界 新聞 都 講緊 佢 你 可能 都 聽過 佢 係 新型 殺蟲劑 植物 吸收 咗 佢 之後 只要 食 葉 嘅 昆蟲 咬 植物 塊 葉 一啖 就 足以 致命 如果 任何 一種 敵敵畏 高 濃度 咁 用 就 會 好似 頭先 講到 咁 當 足夠 劑量 嘅 敵敵畏 去到 植物 嘅 花粉 同花 蜜 而 蜜蜂 食用 嘅話 高 劑量 嘅 神經毒素 會 令 蜜蜂 抽搐 同 死亡 美國 大多數 農場 裏邊 只有 種子 會 噴 咗 殺蟲劑 所以 植物 嘅 殺蟲劑 濃度 都 會 低啲 花粉 同花 蜜 嘅 殺蟲劑 都 冇 咁多 蜜蜂 如果 攝取 咁 少 嘅 殺蟲劑 佢 一係 無事 一係 因為 中毒 而 簜失 路 返 唔到 屋企 除此之外 蜂 都 有 自己 嘅 病 同 寄生蟲 佢哋 頭號 敵人 係 狄 氏 瓦 蟎 呢個 名 好啱 佢 因為 狄 氏 瓦 蟎 係 一種 體型 大 嘅 吸血 寄生蟲 會 削弱 蜂 嘅 免疫系統 同時 傳播 病毒	One of these class of insecticides the neonicontinoids is making headlines around the world right now You ve probably heard about it This is a new class of insecticides It moves through the plant so that a crop pest a leaf eating insect would take a bite of the plant and get a lethal dose and die If one of these neonics we call them is applied in a high concentration such as in this ground application enough of the compound moves through the plant and gets into the pollen and the nectar where a bee can consume in this case a high dose of this neurotoxin that makes the bee twitch and die In most agricultural settings on most of our farms it s only the seed that s coated with the insecticide and so a smaller concentration moves through the plant and gets into the pollen and nectar and if a bee consumes this lower dose either nothing happens or the bee becomes intoxicated and disoriented and she may not find her way home And on top of everything else bees have their own set of diseases and parasites Public enemy number one for bees is this thing It s called varroa destructor It s aptly named It s this big blood sucking parasite that compromises the bee s immune system and circulates viruses
無人 真嘅 知道	Nobody really knows
患 思覺失調 嘅 機會	that someone will develop schizophrenia
細細聲 發出 怪 聲	when you remembered something embarrassing
亞馬遜	Does Amazon carry it
你 可以 想像 到 我 係 機場 保安 關卡 用咗 好多時 間	As you can imagine I spent a lot of time at airport security
第二日 我 又 嚟 喇 隻 灰熊 同 個 仔 走咗 喇 所以 今次 我哋 真正 開始 喇 我 著好 件 防護 衣 戴 好 個 防護 面罩 之後 用 膠袋 冚 住 啲 樹 我 拎住 個 超 大 註射 器 將 示 蹤 同位素 二氧化碳 射 入個 膠袋 度 首先 係 北美 白 樺 我 將 放射性 氣體 碳 14 射 入 佢度 之後 係 黃 杉 我 註 入咗 穩定 嘅 同位素 碳 13 二氧化碳 我 用咗 兩 種 唔同 嘅 同位素 因為 我 想 知 呢 兩 種樹 之間 係咪 有 雙向 交流 註射 用到 最後 一 袋 即係 第 80 組 樹 突然間 隻 灰熊 又 來 咗 喺 後面 追 住 我 我 舉 住 個 註射 器 過 我 個頭 一邊 拍 蚊 一邊 跳 到 架 貨車 度 我 心諗 難怪 啲 科學家 鍾意 留 喺 實驗室 啦	So I came back the next day and mama grizzly and her cub were gone So this time we really got started and I pulled on my white paper suit I put on my respirator and then I put the plastic bags over my trees I got my giant syringes and I injected the bags with my tracer isotope carbon dioxide gases first the birch I injected carbon 14 the radioactive gas into the bag of birch And then for fir I injected the stable isotope carbon 13 carbon dioxide gas I used two isotopes because I was wondering whether there was two way communication going on between these species I got to the final bag the 80th replicate and all of a sudden mama grizzly showed up again And she started to chase me and I had my syringes above my head and I was swatting the mosquitos and I jumped into the truck and I thought This is why people do lab studies
笑聲	Laughter
當 我 仲係 少女 嗰陣 啲 月經 嚇死 人 經痛 非常 厲害 嗰啲 經血 漏 到 落 衫 同 床 單 度 同時 行經 期間 有 肚瀉 每月 都 有 一兩日 返 唔到 學 我 仲 記得 拎住 個 暖 墊 坐喺 沙發 到 諗 咩事 啫 我 食嘢 口水 腺 都 唔會 流出 啲 口水 去 散步 膝頭 唔會 漏 啲 關節 液 出嚟 點解 啲 月經 就咁 衰 漏 曬 出嚟	When I was a teen I had terrible periods I had crippling cramps I leaked blood onto my clothes and onto my bed sheets and I had period diarrhea And I had to miss school one to two days a month and I remember sitting on the couch with my heating pads thinking What s up with this When I ate food I didn t leak saliva from my salivary glands When I went for a walk I didn t leak fluid from my knees joint fluid Why was menstruation so different
我 先生 奧蘭多 同埋 我 我哋 一家人	my husband Orlando and I and our family
口語 當中 包含 大量 文化 而 因為 我 唔會 用 我 把聲 去 講嘢 喺 社會 眼中 就 好似 我 冇得 發言 一樣 所以 我 需要 同 可以 平等 看待 我 嘅人 共事 幫 我 發聲 通過 呢種 方式 我 可以 喺 社會 裏面 繼續 發揮 影響	There s a massive culture around spoken language And just because I don t use my literal voice to communicate in society s eyes it s as if I don t have a voice at all So I need to work with individuals who can support me as an equal and become my voice And that way I m able to maintain relevancy in society today
好 呀 你 幾時 call 我 我 咪 幾時 熄機 囉	All right Call me then I ll turn off my phone
好鍾意 佢 㗎	I really love him
我 對 感情 嘅 要求 好 簡單 啊	I don t ask for much love
你 清醒 啲 啦	Wake up
當時 我 可以 負責任 咁 講	I mean at that time trust me
你 感受 唔到 頁面 嘅 印刷	and you can t feel the print on the page
我 喺 呢度 同 大家 討論 大自然 嘅 無形 性 經濟 但 壞 消息 係 大自然 嘅 後勤部 門 其實 未 運作 所以 仲未 出發 票 但 我哋 需要 處理 呢個 問題 我 一 齣 嚟 就 從事 市場 專業 一直 都 冇 改 不過 最近 我 大部分 精力 都 投放 到 研究 人類 開採 返嚟 嘅 自然資源 嘅 價值 但 佢哋 仍然 未有 所謂 嘅 價錢牌	I m here to talk to you about the economic invisibility of nature The bad news is that mother nature s back office isn t working yet so those invoices don t get issued But we need to do something about this problem I began my life as a markets professional and continued to take an interest but most of my recent effort has been looking at the value of what comes to human beings from nature and which doesn t get priced by the markets
掌聲	Applause
你 架 車 喺度 沖 咗 山	his car crashed in Hokkaido
我哋 朝早 起身 著衫 著 鞋 然後 離開 屋企 一日 完 咗 之後 你 會 返嚟 屋企 換衫 瞓覺 第二日 起身 又 重覆 琴日 嘅嘢 就係 呢個 節奏 令到 生活 有 一個 結構 幫 我哋 組織生活 畀 到 我哋 有 預算 我 住喺 紐約 紐約 喺 一個 細 嘅 地方 呢個 城市 每分每秒 好多 人 做緊 好多 嘅嘢 而 生命 就 好似 你 喺 一局 入面 同時 玩緊 幾 副 啤牌 咁 所有 事情 一齊 發生 係 可能 嘅 只不過 你 無 諗過 事情 真嘅 會同 時 發生 啫 你 無 諗過 你 會 係 街上 某某人 因為 行 左 或者 行 右 嘅 決定 你 嘅 餘生 將會 因此 改變	You know we wake up in the morning you get dressed put on your shoes you head out into the world You plan on coming back getting undressed going to bed waking up doing it again and that anticipation that rhythm helps give us a structure to how we organize ourselves and our lives and gives it a measure of predictability Living in New York City as I do it s almost as if with so many people doing so many things at the same time in such close quarters it s almost like life is dealing you extra hands out of that deck You re never there s just juxtapositions are possible that just aren t you don t think they re going to happen And you never think you re going to be the guy who s walking down the street and because you choose to go down one side or the other the rest of your life is changed forever
我 獨自 一 人 行	I was alone on foot
我哋 會 幫 佢哋 洞悉	We give them some insight
佢地 都 會 睇返 你	they look back
尼布甲尼撒 嘅 仔 伯 沙 撒	Belshazzar his son
我哋 好 有心機 創作 呢本 書 漫畫 插圖 唔會 惹人 反感 但 文化 題材 有啲 敏感 我哋 做樣 本 測試 時 發現 啲 女仔 好鍾意 本 書 佢哋 好想 睇 呢本 書 等 自己 知道 多啲 經期 嘅 知識 家長 同 老師 可以 好 輕鬆 咁 利用 呢本 書 同 啲 細路女 討論 經期 有時 連 男仔 都 有興趣 睇下 呢本 書	While making the book we took great care that none of the illustrations were objectionable in any way and that it is culturally sensitive During our prototype testing we found that the girls loved the book They were keen on reading it and knowing more and more about periods on their own Parents and teachers were comfortable in talking about periods to young girls using the book and sometimes even boys were interested in reading it
亦 叫做 JAWS	from the Net or from what was on the computer
先父 同樂 然 爸爸 生前 係 好好 朋友	Yuri s dad and my late dad were friends
而 地球 三成 陸地 直接 或 間接 咁	30 percent of the Earth s land surface is directly or indirectly devoted
最 重要 嘅 係 玩 點樣 令 一切 變得 有意義	and ultimately how play creates meaning
但係 永遠 唔知道	when the ride is over
一啲 只 食 本土 種植 嘅 食品 嘅人	is someone who eats only locally grown food
多謝	Thank you
我哋 都 可以 安心 啦 你 終於 嚟 咗	We were worried but you came
而 相同 的 事 正 開始 發生 在 硬體 上	And the same is starting to happen with hardware too
一百萬 人 嘅 生命	every year
最終 可以 改善 病人 健康	and we need to do so at a limited
你 唔 嬲 我 喇咩	Are you not angry anymore
諗 呢個 食物金字塔 嘅人 入面 有 一半	Half the people who developed the food pyramid
繼續 做 呢個 計劃	and keep doing the project
再 多啲	I know more than you think
笑聲	Laughter
我 要 返工	I want to go back to work
他們的 參與 影響 到	about their participation
韌力 對 我 嚟講 係 好 切身 嘅嘢 韌力 改變 咗 我 好多 我 屋企 係個 單親家庭 母親 日頭 喺 電話 公司 工作 夜晚 賣 廚具 用品 於是 我 可以 接觸 好多 嘢 我哋 盡量 用 優惠 捲 買嘢 選擇 分期 供款 同 買 二手貨 當 我 媽媽 患 末期 乳癌 唔可以 再 做嘢 我哋 甚至 要 申請 食物 捲 當時 我 大概 九 十 歲 我 覺得 自己 好 可憐 但 媽媽 會同 我 講 乖女 同 世界上 嘅 慘劇 相比 你 算好 好啦	This topic of resilience is very personal to me and in many ways has shaped my life My mom was a single mom who worked at the phone company during the day and sold Tupperware at night so that I could have every opportunity possible We shopped double coupons and layaway and consignment stores and when she got sick with stage four breast cancer and could no longer work we even applied for food stamps And when I would feel sorry for myself as nine or 10 year old girls do she would say to me My dear on a scale of major world tragedies yours is not a three
所以 EEG 腦電圖 掃描	So these EEG scans
嗰啲 家庭成員	those of us family members
中午 11 39 食 嘅 係 呢個	At 11 39 a m was this one
嗰 刻 我 可以 呼吸 多啲 空氣	and I d been able to breathe a little more now
爲 斯坦福大學 贏 到 20 萬 美金	winning Stanford 2 million dollars
在 我 眼 裏 這些 都 只是 個 開始	From what I ve seen this is only the beginning
你 嘅 同事 你 嘅 手足 係唔 會 信 嘅	your colleagues your employees aren t going to feel it
多謝	Thank you
引起 社會 的 關注	aroused a huge outcry from society
有趣 嘛 好玩 嘛	Is it fun Is it playful
轉左 呀 嘛	I told you to turn left not right
哦 嗰個人 搬 左 屋 呀	Oh that guy just moved
未來 兩 年會 發生 嘅 變化	in the next two years and underestimate
最後 始終 都 係 病人 本身	It s the person who actually in the end
係 另一方面 我 對 自我 嘅 定義	On the other hand my definition of self
咁 就 去 幫 人	help someone
我 都 努力 重新 演繹 歷史 時間	I try and revisit historic events
佢 嘅 仔 受到 左 指控	coming over when her son was indicted
睇嚟 佢 呢個 名 無啦啦 咁 改咗 但係 同 我 啲 頭髮 越來越 少 係 完全 無關 係 呢個 名 係由 早期 顯微鏡 學家 改 嘅 佢哋 發現咗 啲 細胞 嘅 一邊 有 執 小 鬣毛 如果 我哋 用 而家 嘅 電子顯微鏡 仲會 睇得 更 清楚 睇到 符合 毛細 胞 呢個 名 嘅 特徵 就係 呢 執 毛 佢哋 係由 二十 到 多達 數百 條 纖細 嘅 圓柱 條 所 組成 直立 喺 細胞 嘅 頂頭 你哋 家陣 可以 聽到 我 嘅 聲音 就係 拜 呢啲 毛細 胞 所 賜	Now these hair cells are unfortunately named because they have nothing at all to do with the kind of hair of which I have less and less These cells were originally named that by early microscopists who noticed that emanating from one end of the cell was a little cluster of bristles With modern electron microscopy we can see much better the nature of the special feature that gives the hair cell its name That s the hair bundle It s this cluster of 20 to several hundred fine cylindrical rods that stand upright at the top end of the cell And this apparatus is what is responsible for your hearing me right this instant
唔 係 為 左 去 改變 具體 的 事	to change practical things
佢 無極限 佢 不可戰勝	It had no limits It was invincible
我 用咗 好多 年來 接受 我 個 仔 留低 嘅 問題 暴行 定義 咗 佢 最後 嘅人 生 佢 已經 唔係 我 識 嗰個 人 修 尾 有人 問 我 你 點解會 唔知 你 到底 點做 媽咪 我 都 猛咁 問 自己	It has taken me years to try to accept my son s legacy The cruel behavior that defined the end of his life showed me that he was a completely different person from the one I knew Afterwards people asked How could you not know What kind of a mother were you I still ask myself those same questions
你 可以 畫畫 大家 都 可以	You can draw as everyone should
依家 我哋 大大聲 要有 機 食品	So now we clamor for organic food
蜂 類 以前 覓食 嘅 農田	The very farms that used to sustain bees
我 最終 得到 嘅 就係 好似 呢啲 噉嘅 形態	What I come up with are forms like these
KySportsRadio marchmadness	KySportsRadio marchmadness
第一次 喺 中國 出現	Chinese people start to learn how to negotiate
冇乜 咁多嘢	Done
你 應該 掌握 控制權	Well you have to take control over it
你 唔係 唔知 我 對 人哋 有 好感 㗎喇 嘛	You know I like her right
佢 令 我 想起 我哋 係 大自然 嘅 一部分	It reminds us that we are a part of nature
無人 真嘅 知道	Nobody really knows
諗住 好好 咁 睇場 波	The daffodils were blooming
您 去 問 Tufte 佢 亦 會話	You ask Tufte and he would say
有時 我哋 嘅 汽車 會 好 瘋狂	Sometimes our cars get so crazy
咁 係咪 新會 早啲 同 我	They used Ito and his gang
我 從小 喺 緬因州 長大 細個 嗰時 我 最 愛 做嘅 一 件 事 就係 到 海邊 執 海 錢 因為 父母 話 執到 海 錢 會 帶嚟 好運 但 要 知道 海 錢 好 難搵 佢哋 畀 沙 遮住 好 難 被 發現 只不過 一段 時間 之後 我 已經 識 點樣 搵到 佢哋 我 開始 憑 形狀 同 紋理 嚟 搵 佢哋	When I was a child growing up in Maine one of my favorite things to do was to look for sand dollars on the seashores of Maine because my parents told me it would bring me luck But you know these shells they re hard to find They re covered in sand they re difficult to see However over time I got used to looking for them I started seeing shapes and patterns that helped me to collect them
而且 去 改變 佢哋 嘅 生命 路程	and to change the course of their lives
過山車	Rollercoaster
佢哋 最終 喺 雲南 洞穴 嘅 蝙蝠 身上 搵到 呢種 未知 嘅 病毒 係 一種 冠狀病毒 佢 引發 咗 2003 年 嚴重 急性 呼吸 綜合徵 即係 沙士	They finally found it here in the bats of Shitou Cave The virus in question was a coronavirus that caused an epidemic of severe acute respiratory syndrome or SARS in 2003
我 覺得 入邊 太 多 宣傳 啦	I think they re full of propaganda
如果 我 用 羽毛 掃 過 呢度	if I were to stroke it with this feather
同一 時間	Common time
破壞 我哋 社會 結構	break the social fabric of our society
令 像 John 那樣 的 人 覺得 自己 處於 被 孤立 的 狀態	that people like John found themselves in
佢 間 酒店 淨係 開 到 午夜	It s a hotel that s only open until midnight
另一個 我 喜歡 嘅 方法	The other favorite if you like solution for me
而 呢個 總 係 工作 嘅 一部分	And that has always been a central part of the work
佢 對 滑雪 好認 真 但 佢 亦 一樣 愛 呢樣 運動	he s serious about it but he loves it
我哋 用 油漆 同花 盆	pretty dingy looking parking lot
我 嗰晚 唯一 嘅 心願 就係	yet my father died of starvation
如果 你 覺得 無助	If you re feeling helpless
所有 巴西 人 都 好 震驚	All Brazil was shocked
喺 拉 哥 斯 有好多 事 有可能 亦有 好多 事 冇 可能 好多時 可能 同 冇 可能 之間 嘅 差別 就睇 你 嘅 身份 你 嘅 運氣 同埋 人脈 能 唔能 夠 喺 拉 哥 斯 立足 有好多 變數 譬如 你 嘅 種族 性取向 同性 別 不過 最 明顯 同 最 強烈 嘅 因素 係 社會階層	There is so much that is possible in Lagos and so much that isn t and very often the difference between possibility and impossibility is simply who you are and if you re lucky enough who you re connected to Belonging in Lagos is a fluid concept determined by ethnic origin sexual orientation gender but most visibly and often most violently class
撞到 一 扇 玻璃窗	smashing into a windowpane
好 可惜 呢個時候 家庭 式 晚餐 就算 唔係 一命嗚呼	Sadly it was at this time that the family dinner was put in a coma
佢哋 就 好似 可愛 嘅 怪獸 一樣	They become lovely monsters
但係 呢啲 真相 成日 畀 一片 叫賣 聲 掩埋 日日 硬係 有 班 政客 喺 個 公仔箱 度 同 我哋 講 大學 學位 好重要 有 佢 先可以 扶搖直上 做到 中產 通常 理據 就係 專上 學歷 競爭力 高 大專 畢業 比起 高中 畢業 平均 賺 多 56	But these truths are often times hidden by a very noisy sales pitch There is not a day that goes by without some policy guy on television telling us A college degree is absolutely essential to get on that up escalator to a middle class life And the usual evidence offered is the college premium a college grad who makes on average 56 percent more than a high school grad
伊娃 你 已經 來 呢度 兩 年 了	Eve you ve been coming here for two years
相對 我 知道 嘅 主 是 我 的 牧人 節 然 不同	as opposed to what I knew it as The Lord is my shepherd
